|Nom entreprise|Adresse|Ville|Telephone
3530|Manuel Fernandez Fernandez|Av. Pablo Iglesias, 51|Gijón, Asturias (España)|985.373.776
3531|Cuarto De Los Valles|Ctra. General, 20|Tineo, Asturias (España)|985.806.363
3532|Francisco Javier Perez Menendez|San Roque, 18|Salas, Asturias (España)|985.830.207
3533|La Cantora|Ramón y Cajal, 6|Piloña, Asturias (España)|985.711.115
3534|Jose Andres Noriega Corces|Barrio Moradiellos S/N|Cabrales, Asturias (España)|985.846.496
3535|Gerardo Niembro Fernandez|Lugar Benia de Onís S/N|Onis, Asturias (España)|985.844.157
3536|Jose Luis Rego Fernandez|Av. Galicia, 10|Vegadeo, Asturias (España)|985.634.673
3537|Jose Aguera Menendez|Eugenia Astur, 24|Tineo, Asturias (España)|985.800.109
3538|Medivet|Calle A, s/n Pol. Asipo|Llanera, Asturias (España)|985.265.012
3539|Veterinarios Oficiales De Salud Pública|Joaquín Rodríguez Loredo, 9|Navia, Asturias (España)|985.473.099
3540|Veterinario Oficial De Salud Publica|Acevedo y Pola, 40|Noreña, Asturias (España)|985.740.437
3541|Centrovet Cb Servicio Veterinario|Av. Flórez Estrada, 11|Grado, Asturias (España)|985.752.905
3542|Fauna|Santa Apolonia, 135|Avilés, Asturias (España)|985.515.296
3543|Contrueces|Pintor Manuel Medina, 9|Gijón, Asturias (España)|985.148.024
3544|Clinica San Anton C.b.|Velázquez, 9-11|Oviedo, Asturias (España)|985.114.722
3545|La Arena|Ezcurdia, 92|Gijón, Asturias (España)|985.339.351
3546|Marta Calvo Blanco|Manolo Ponteo, 2|Oviedo, Asturias (España)|985.116.214
3547|Clinica Veterinaria Martinez C.B.|Iglesia, 7|Nava, Asturias (España)|985.716.548
3548|Clinica Veterinaria San Francisco|Av. Gaspar García Laviana, 28|Gijón, Asturias (España)|985.398.667
3549|Asociacion De Veterinarios Asturianos De Pequeños Animales|Pl. América, 10|Oviedo, Asturias (España)|985.232.784
3550|Centro Veterinario|Padre Aller, 3|Oviedo, Asturias (España)|985.246.046
3551|Clinica Veterinaria Rivamas S.l.|Guyame S/N|Llanera, Asturias (España)|985.773.500
3552|Julia Maria Menendez Fernandez|Corresponsal Tino Rebustiello, 4|Lena, Asturias (España)|985.491.929
3553|Clinica Veterinaria Mamen Gonzalez Llerandi|Alfonso Noriega, 2|Cangas de Onís, Asturias (España)|985.849.538
3554|Clinica Mascotas|Mariano Suárez Pola, 43|Gozón, Asturias (España)|985.883.042
3555|Clínica Veterinaria San Roque|Paseo San Roque, 29|Ávila, Ávila (España)|920.257.278
3556|Crialsam|Cuatro Postes, 2|Ávila, Ávila (España)|920.211.105
3557|Fernando Hernandez Diaz|Valladolid, 50|Ávila, Ávila (España)|920.253.572
3558|Felipe Mendez Olayo|Ramón de Francisco, 8|Ávila, Ávila (España)|920.250.295
3559|Comercial Veterinaria Piedrahita|El Quinto Centenario S/N|Piedrahita, Ávila (España)|920.360.366
3560|Juan Cruz Sanchez Guevara|Urbanización los Magdalenos, 3|Piedrahita, Ávila (España)|920.360.104
3561|Francisco Javier Vazquez Gordo|La Amargura, 1|Santa María del Cubillo, Ávila (España)|920.204.027
3562|El Barco|Av. José Antonio Vaca de Osma, 3|El Barco de Ávila, Ávila (España)|920.340.087
3563|Candeleda Clinica Veterinaria|Salamanca, 9|Candeleda, Ávila (España)|920.381.115
3564|Veterinarios 24 Hr|Somoza, 39|Piedrahita, Ávila (España)|920.360.789
3565|Gemma Gonzalez Saugar|Urbanización la Picota, 25|La Adrada, Ávila (España)|918.679.167
3566|Juan Angel Domingo Mateos|Santiago, 24|Alburquerque, Badajoz (España)|924.401.242
3567|Ignacio Babiano Lucas|Pl. España, 3|Fuenlabrada de los Montes, Badajoz (España)|924.656.158
3568|Francisco Cuadrado Noriega|José de la Concha, 7|Feria, Badajoz (España)|924.694.204
3569|Juan Martinez Luna|Av. Castillo de Rena, 29|Badajoz, Badajoz (España)|924.278.198
3570|Jesus Nieto Suarez|Prim, 38|Badajoz, Badajoz (España)|924.222.833
3571|Clinica Clivemar|Av. Estación, 18|Zafra, Badajoz (España)|924.552.660
3572|Yuste|Rey Mudafar, 1|Badajoz, Badajoz (España)|924.273.623
3573|Don Can|Venezuela, 8|Almendralejo, Badajoz (España)|924.670.729
3574|Juan Antonio Romero Pastor|Arriba, 12|Castuera, Badajoz (España)|924.772.333
3575|Clinica Veterianaria De Almendralejo|Ctra. Santa Marta, 65|Almendralejo, Badajoz (España)|924.663.205
3576|Clinica Veterinaria Segenal|Piedra, 1|Higuera la Real, Badajoz (España)|924.723.454
3577|Zoyco S.l.|Segura, 49|Fregenal de la Sierra, Badajoz (España)|924.720.147
3578|Vesamex S.l.|Pío Baroja, 4|Mérida, Badajoz (España)|924.373.357
3579|Fermin Martinez Rojas|Cilla, 37|Granja de Torrehermosa, Badajoz (España)|924.895.041
3580|Clinica Veterinaria Araceli|Fernando Moreno Márquez, 40|Zafra, Badajoz (España)|924.550.097
3581|Servicios Veterinarios De Monesterio S.l.|Cañuelo, 4 I|Monesterio, Badajoz (España)|924.518.129
3582|Antonio Hernandez Trancoso|Av. Córdoba S/N|Llerena, Badajoz (España)|924.872.514
3583|Centro Veterinario Y Ganadero S.l.|Av. Sinforiano Madroñero, 7|Badajoz, Badajoz (España)|924.263.129
3584|Felix Gil Pizarro|Pl. Extremadura S/N|Zalamea de la Serena, Badajoz (España)|924.775.454
3585|Carlos Saban Lara|Herrería, 8|Fregenal de la Sierra, Badajoz (España)|924.700.795
3586|Centro Veterinario De Jerez|Extremadura, 44|Jerez de los Caballeros, Badajoz (España)|924.730.672
3587|Lares|Pl. Corazón de Jesús, 6|Villanueva de la Serena, Badajoz (España)|627.956.881
3588|Consulta Vetrinaria A. Gonzalez|Tirso de Molina S/N|Castuera, Badajoz (España)|625.124.780
3589|Jaramago Aguilar, M.|San Juanito, 2|Villanueva del Fresno, Badajoz (España)|924.427.741
3590|Manuel Jaramago Aguilar|Cándido Fernández, 15|Villanueva del Fresno, Badajoz (España)|924.427.744
3591|Gabinete Veterinario Extremeño|Gabriel y Galán, 71|Montijo, Badajoz (España)|924.454.266
3592|Ecoemerita S.r.l.|Huesca , 9 (Pol. Ind. El Prado)|Mérida, Badajoz (España)|924.378.580
3593|Gonzalez Lopez, A.|Badajoz, 33|Calamonte, Badajoz (España)|924.323.469
3594|Gespiber|Pl. Constitución, 6|Alconchel, Badajoz (España)|924.420.385
3595|Emilio Quintero Garcia|Cristo, 12|Hinojosa del Valle, Badajoz (España)|924.537.701
3596|Servicios Veterinarios Vetalba S.l.p.|Avenida Pablo Lapeña Aranda, 13|Alburquerque, Badajoz (España)|924.401.606
3597|Juan Carlos Cassillas Ovando|José Luis Mesías Iglesias, 1|Almendralejo, Badajoz (España)|924.661.149
3598|Anabel Mulero Navarro|García de Silva y Figueroa, 23|Zafra, Badajoz (España)|924.553.988
3599|Aurora Garcia Marin|Ildefonso Serrano, 8|Oliva de la Frontera, Badajoz (España)|924.740.866
3600|Doctor Who S.c.|Dr. Jacinto Lobato, 27|Badajoz, Badajoz (España)|924.260.989
3601|Sociedad Ganadera Las Torrecillas S.l.|Ctra. Badajoz-Huelva (N-435), 8|Jerez de los Caballeros, Badajoz (España)|924.730.393
3602|Clínica Metropólitan|Adrià Ferran, 2|Palma, Illes Balears (España)|971.247.484
3603|Consultorio Veterinario|Av. Camí de Maó, 66|Ciutadella, Illes Balears (España)|971.381.395
3604|Clinica Món Veterinari|Passeig Ferrocarril, 100|Manacor, Illes Balears (España)|971.554.265
3605|Clínica Veterinaria Campos|Nicolau Oliver Fullana, 1|Campos, Illes Balears (España)|971.652.240
3606|Clinica Veterinaria Puerto De Alcudia|Ctra. Artà, 83|Alcúdia, Illes Balears (España)|971.891.115
3607|La Rambla|Santa Magdalena, 1|Palma, Illes Balears (España)|971.712.550
3608|Clinica Veterinaria Gran Via|Av. Gran Via, 51|Sóller, Illes Balears (España)|971.633.088
3609|Juan Carbonell Estelrich|Església, 4|Maria de la Salut, Illes Balears (España)|971.525.153
3610|Miquel Mercadal Vaquer|Marina Gran, 8|Ses salines, Illes Balears (España)|971.649.008
3611|Miquel Mercadal Vaquer|Ctra. ses Salines-Colònia Sant Jordi, 3|Ses salines, Illes Balears (España)|971.649.753
3612|Clinica Veterinaria Rafael Coll Rosello|Madrid, 8|Maó, Illes Balears (España)|971.353.612
3613|Mascotas|Berga, 48|Llucmajor, Illes Balears (España)|971.440.088
3614|Francisco Bonet Vicens|Rafalet, 29|Santanyí, Illes Balears (España)|971.163.163
3615|Marivent|Av. Joan Miró, 266|Palma, Illes Balears (España)|971.701.616
3616|La Vileta|Bolonya, 2|Palma, Illes Balears (España)|971.792.876
3617|Manuel Marin Llopis|Josep Malbertí, 54|Palma, Illes Balears (España)|971.269.767
3618|Consulta Veterinaria Coll D'en Rabassa|Pl. Església, 2|Palma, Illes Balears (España)|971.743.854
3619|Joan Llull Grimalt Y Otro C.b.|Burgués S/N|Felanitx, Illes Balears (España)|971.581.579
3620|Clinica Veterinaria Son Ferrer C.b.|Àliga, 3|Calvià, Illes Balears (España)|971.230.212
3621|Orfila Y Sintes C.b.|Pla Sant Climent, 6|Maó, Illes Balears (España)|971.153.101
3622|Francisco Javier Bayo De La Fuente Y Otra C.b.|Trafalgar, 23|Palma, Illes Balears (España)|971.269.381
3623|Los Tilos|Pl. Brollador, 3|Esporles, Illes Balears (España)|971.619.397
3624|Centro Veterinario Capdepera|Feliu Morey Amengual, 8|Capdepera, Illes Balears (España)|971.563.835
3625|Clinica Veterinaria Sa Pobla|Renou, 20|Sa Pobla, Illes Balears (España)|971.541.406
3626|Es Camp Rodo|Ramón Muntaner, 52|Palma, Illes Balears (España)|971.202.088
3627|Kans|Sant Vicenç, 77|Santa Eulalia des Riu, Illes Balears (España)|971.332.633
3628|Clinica Veterinaria Es Raiguer|Miquel Bisellach, 4|Inca, Illes Balears (España)|971.501.490
3629|Felanitx|Mola, 4|Felanitx, Illes Balears (España)|971.583.234
3630|Clinica San Fernando|Av. Sant Ferrán, 47|Palma, Illes Balears (España)|971.730.546
3631|Clinica Veterinaria San Antonio|c/ Btle. Vte. Ramón, 30 Bjos Edificio Progreso Local 9-10|Sant Antoni de Portmany, Illes Balears (España)|971.341.516
3632|Koopmans, Yvette|García Morató, 17|Andratx, Illes Balears (España)|971.674.057
3633|Veterclinic S.l.|Montserrat Blanes, 6|Artà, Illes Balears (España)|971.836.883
3634|Clinica Veterinaria Cardona & Von Hofe S. C.|San Ferras, 29|Maó, Illes Balears (España)|971.366.009
3635|Clinica Veterinaria Cardona & Von Hofe S. C.|Turó S/N|Maó, Illes Balears (España)|971.153.559
3636|Clinica Antonio De Olives|Ullastres S/N, (resid. la Trotxa)|Alaior, Illes Balears (España)|971.378.491
3637|Portals Nous|Ctra. Andratx, 43|Calvià, Illes Balears (España)|971.677.606
3638|Consultorio Son Sardina|Rosa Canals, 5|Palma, Illes Balears (España)|971.438.286
3639|Gordon Johannes Schier|Verge Maria, 28|Artà, Illes Balears (España)|971.589.325
3640|Entorn Animal S.l.|Pl. Mercat, 3|Sóller, Illes Balears (España)|971.633.619
3641|Trixie Balear S.l.|Dragonera, 5|Llucmajor, Illes Balears (España)|971.446.031
3642|Ines Otero De La Rosa|Bernat de Santa Eugénia, 15|Santa María del Camí, Illes Balears (España)|971.140.511
3643|El Parc|Joan Mas, 4|Palma, Illes Balears (España)|971.290.044
3644|Clinica Veterinaria Calvia|Rectoria, 5|Calvià, Illes Balears (España)|971.670.910
3645|Sineu|Menestrals, 20|Sineu, Illes Balears (España)|971.520.349
3646|Salord Sole C.b.|Seminari, 14|Ciutadella, Illes Balears (España)|971.381.460
3647|Clinica 368|Aragó, 368|Palma, Illes Balears (España)|971.473.043
3648|Centro Veterinario Kans|Urb. Ciudad Jardín II S/N, PUIG D´en Valls|Santa Eulalia des Riu, Illes Balears (España)|971.315.223
3649|Portocristo|Rda. Oest, 50|Manacor, Illes Balears (España)|971.822.385
3650|Fundacion Humana Resort|Par. Venda de Benirras S/N|Sant Joan de Labritja, Illes Balears (España)|971.334.149
3651|Sanican Seguro Veterinario S.a.|Aragó, 6|Palma, Illes Balears (España)|971.771.369
3652|Clinica Veterinaria Faycan C.b.|Cí. Cabana, 65|Marratxí, Illes Balears (España)|971.608.749
3653|Siesta|Petunias, 9|Santa Eulalia des Riu, Illes Balears (España)|971.338.542
3654|Clinica Veterinaria Portixol|Santueri, 2|Palma, Illes Balears (España)|871.953.103
3655|Ibican Clinica Veterinaria S.l|Canàries, 41|Eivissa, Illes Balears (España)|971.194.644
3656|Ofibal 2006 S.l.|Coma Gran, 18 (urb. es Caülls)|Marratxí, Illes Balears (España)|971.605.472
3657|Clinica Veterinaria Moxica S.l.|Roger de Flor, 39|Pollença, Illes Balears (España)|971.864.030
3658|Centro Veterinario Alaior|Bassa Roja, 63|Alaior, Illes Balears (España)|971.371.070
3659|Clinica Veterinaria Capdevila S.cv.p.|Pl. Frederic Durán, 1|Martorell, Barcelona (España)|937.753.222
3660|Esteban Pelaez Martin|Ferran Valls i Taberner, 9|Barcelona, Barcelona (España)|934.146.905
3661|Clínica Veterinaria La Castellana|Monasterio de las Huelgas, 15|Burgos, Burgos (España)|947.203.618
3662|Clinica Veterinaria Impala|Alfonso VI, 14|Miranda de Ebro, Burgos (España)|947.310.977
3663|Medina|Avenida de Burgos, 21|Medina de Pomar, Burgos (España)|947.191.544
3664|Comercial Aquavet|Real de San Juan, 2|Villasandino, Burgos (España)|947.370.533
3665|Emilio Murillo Mariscal|Constitución, 32|Aldeacentenera, Cáceres (España)|927.314.201
3666|Gaspar Manzano Tovar|Dr. Fleming, 11|Cáceres, Cáceres (España)|927.222.176
3667|Gaspar Manzano Tovar|Larga Alta, 45 bajo CA|Casar de Cáceres, Cáceres (España)|927.290.178
3668|Julia Maria Perez Perez|Av. Virgen de la Montaña, 9|Cáceres, Cáceres (España)|927.217.326
3669|Inocencio Hernandez Cb|Av. Ramón y Cajal, 10|Trujillo, Cáceres (España)|927.320.084
3670|Inocencio Hernandez Cb|Dr. Fleming, 4|Cáceres, Cáceres (España)|927.245.178
3671|Marcelo Simon Tabares|Huerta del Hospital, 49|Guadalupe, Cáceres (España)|927.367.046
3672|Jesus Miguel Viñuales Sanabria|Av. Miguel Primo de Rivera, 11|Cáceres, Cáceres (España)|927.241.564
3673|Juan Andres Vivas Talavero|Pl. Dr. Bejarano S/N|Zarza de Granadilla, Cáceres (España)|927.486.380
3674|Jose Manuel Montero Castellano|Islas Azores, 15|Cáceres, Cáceres (España)|927.237.806
3675|Antonio Jose Barquero Vecino|Ctra. Hinojal-Talaván, 12|Hinojal, Cáceres (España)|927.286.205
3676|Fauna|Av. Sierra de Gata, 1|Cáceres, Cáceres (España)|927.503.759
3677|Javier Vazquez Gomez|Urb. Los Olivos, 36|Valencia de Alcántara, Cáceres (España)|927.582.293
3678|Verazoo|Agua, 32|Jaraíz de la Vera, Cáceres (España)|927.170.736
3679|Veterinario Jose Manuel Ruiz Nevado|Pedro Rodríguez, 2|Valencia de Alcántara, Cáceres (España)|927.580.591
3680|Julio Corchado Trenado|Dr. Terrón Rodríguez, 59|Salorino, Cáceres (España)|927.593.011
3681|Marquez Clinica Veterinaria|Évora, 28|Cáceres, Cáceres (España)|927.239.169
3682|Veterinario Juan Manuel Martin Perez|Nuevo Trazado S/N|Cilleros, Cáceres (España)|927.512.384
3683|Aprovet|Av. Gabriel y Galán, 17|Brozas, Cáceres (España)|927.373.095
3684|Zoosanitarios Los Monteros S.l.|Av. Alfonso VII, 42|Coria, Cáceres (España)|927.506.205
3685|Equina|Fuente Nueva, 9|Cáceres, Cáceres (España)|927.242.868
3686|Invet C.b|Nueva, 28|Cáceres, Cáceres (España)|927.260.229
3687|Jorge Guerra Guerra|Dr. Alirio Noguera, 32|Cáceres, Cáceres (España)|927.296.112
3688|Centro Veterinario Trujillano C.b.|Sola, 5|Trujillo, Cáceres (España)|927.659.069
3689|Jose Carlos Alvarez Rey|José Almeida Corrales, 4|Alcuéscar, Cáceres (España)|927.120.039
3690|Jose Antonio Solis Rincon|Ctra. Medellín, KM 18|Torrequemada, Cáceres (España)|927.205.122
3691|Hospital Clinico Veterinario|Av. Universidad S/N|Cáceres, Cáceres (España)|927.257.102
3692|El Mundo Animal Veterinaria C.b|Av. la Vera, 107|Villanueva de la Vera, Cáceres (España)|927.567.328
3693|Clínica Veterinaria San Pablo|Real Almadraba, 52 local 10|Barbate, Cádiz (España)|956.431.270.5
3694|Clínica Veterinaria Campos Elíseos|Recreo, 21|Cádiz, Cádiz (España)|956.259.022
3695|Centro Veterinario Claudia - Isla Verde|Lanzarote, 5|Algeciras, Cádiz (España)|956.651.610
3696|Bahia|San Vicente, 2|Puerto Real, Cádiz (España)|956.836.291
3697|Jose Ignacio Vazquez Orellana|Álamos Blancos, 3|Benalup-Casas Viejas, Cádiz (España)|956.424.270
3698|Gabino Gutierrez Sanchez|Córdoba S/N|Chipiona, Cádiz (España)|956.371.587
3699|Alfonso Del Castillo Caracuel|Doctor Mateos Gago, 48|Grazalema, Cádiz (España)|956.132.179
3700|Juan Jesus Saenz Rodriguez|Pelota, 1|Cádiz, Cádiz (España)|956.282.504
3701|Jumesa|P.º Sierra Bermeja, 2|San Roque, Cádiz (España)|956.794.829
3702|Clinica Veterinaria La Noria|Av. Constitución S/N|San Fernando, Cádiz (España)|956.486.969
3703|Centro Veterinario San Anton|Pizarro, 1|San Fernando, Cádiz (España)|956.897.102
3704|Clinica Vet Puerta Grande|Almirante Cañas Trujillo S/N|El Puerto de Santa María, Cádiz (España)|956.542.617
3705|Maria Estefania Sanchez Rodriguez|Antonio Silva, 28|Algar, Cádiz (España)|956.710.254
3706|Centro Veterinario Ramon Y Cajal|Ramón y Cajal S/N|Algeciras, Cádiz (España)|956.634.884
3707|Clinica Veterinaria Mister Can|Duque de Tetuán, 21|La Línea de la Concepción, Cádiz (España)|956.171.995
3708|Francisco Guerrero Segura|Hermanos Laulhe, 8|San Fernando, Cádiz (España)|956.897.303
3709|Jose Joaquin Sanchez Rios|Ctra. Jimena, km8 (Finca La Alqueria)|Jimena de la Frontera, Cádiz (España)|956.618.536
3710|Urgencias Veterinarias 24 H|Av. Europa S/N|Jerez de la Frontera, Cádiz (España)|956.302.159
3711|Clinica Veterinaria Zoolinea|Clavel, 46|La Línea de la Concepción, Cádiz (España)|956.172.636
3712|Francisco Joaquin Cifuentes Luna|Gral. García de la Herrán, 37|San Fernando, Cádiz (España)|956.881.825
3713|Clinica Veterinaria San Pablo|Real Almadraba, 52 Local 10|Barbate, Cádiz (España)|956.431.270
3714|Zarpa|Antonio Accame S/N|Cádiz, Cádiz (España)|956.289.866
3715|Centro Veterinario Montes De Oca|Av. Duque de Arcos S/N|Arcos de la Frontera, Cádiz (España)|956.701.788
3716|Las Nieves|Algodonales, 16|Arcos de la Frontera, Cádiz (España)|956.702.017
3717|Consultorio Veterinario Jimenez|Sevilla, 23|Jimena de la Frontera, Cádiz (España)|956.640.352
3718|Dominguez Gago J.l Y Otro C.b|Paseo el Prado, 18 bajo|Ubrique, Cádiz (España)|956.463.809
3719|Clinica Veterinaria El Retiro|Resid. Retiro Bloque 1|Jerez de la Frontera, Cádiz (España)|956.343.999
3720|Juan Carlos Esteban Nieto|Calle Oropéndola, 34 (Urb. Villaverde)|Los Barrios, Cádiz (España)|956.677.121
3721|Servicio Veterinario La Janda|Av. Andalucía S/N|Medina-Sidonia, Cádiz (España)|956.411.438
3722|Sotovett|Séneca, 2|Algeciras, Cádiz (España)|956.658.080
3723|Bahia De Algeciras|Juan Pérez Arriete, 29|Algeciras, Cádiz (España)|956.092.415
3724|Clínica Veterinaria Faras|Ctra. Puente Chico, 32|Los Barrios, Cádiz (España)|629.580.363
3725|Costa Ballena|Ctra de Rota, km 6,5|Rota, Cádiz (España)|956.847.451
3726|Wildvets S.c.|Salas, 4|Jerez de la Frontera, Cádiz (España)|956.342.385
3727|Equidata S.L.|Urb. El Casar-Floresta, 9|San Roque, Cádiz (España)|956.695.292
3728|Centro Veterinario Algaida|Botavara, 13|Puerto Real, Cádiz (España)|956.805.151
3729|Antonio Miguel Ruiz Lopez|Lugar la Jara, 1|Sanlúcar de Barrameda, Cádiz (España)|956.389.205
3730|Ocelote S.l.|Av. Buenavista S/N|Vejer de la Frontera, Cádiz (España)|956.447.715
3731|Jandavet S.l.|Paterna, 4|Medina-Sidonia, Cádiz (España)|956.410.867
3732|Clinica Veterinaria Varela|Dr. Gómez Plana, 1|Cádiz, Cádiz (España)|856.171.417
3733|Campos Eliseos|Recreo, 21|Cádiz, Cádiz (España)|629.052.414
3734|Francisco Manuel Marin Zarza|Maestra Doña Narcisa, 2|Barbate, Cádiz (España)|956.439.720
3735|Clínica Veterinaria Carmen Calzada|Conde San Diego S/N|Cabezón de la Sal, Cantabria (España)|942.700.186
3736|Clínica Veterinaria La Barquera|Almirante Bonifaz, 1 bajo|San Vicente de la Barquera, Cantabria (España)|942.712.147
3737|Clínica Veterinaria Montemar|Pelegrín, 35|Laredo, Cantabria (España)|942.607.110
3738|Clínica Veterinaria Sania|B.º La Redonda, 180|Reocín, Cantabria (España)|942.838.008
3739|Clínica Veterinaria Castro|Leonardo Rucabado, 2|Castro Urdiales, Cantabria (España)|942.872.241
3740|Jose Maria Gomez Oviedo|B.º Las Presillas S/N|Puente Viesgo, Cantabria (España)|942.598.606
3741|Lucas Maza Higuera|B.º La Lombana, 1|Riotuerto, Cantabria (España)|942.539.287
3742|Wladimiro Salceda Michelena|Lomeña S/N|Pesaguero, Cantabria (España)|942.735.107
3743|Wladimiro Salceda Michelena|Independencia, 20|Potes, Cantabria (España)|942.732.142
3744|Wladimiro Salceda Michelena|Valdeprado S/N|Pesaguero, Cantabria (España)|942.735.123
3745|Julio Cires Martinez|Ojedo S/N|Ojedo, Cantabria (España)|942.731.099
3746|Julio Cires Martinez|Dr. Encinas, 2|Potes, Cantabria (España)|942.731.006
3747|Covadonga|Av. Besaya, 15|Torrelavega, Cantabria (España)|942.801.187
3748|El Parque|Pl. Leonor de la Vega, 2|Torrelavega, Cantabria (España)|942.888.427
3749|Clinica Veterinaria Sardinero|Av. Pontejos, 3|Santander, Cantabria (España)|942.276.953
3750|Sardinero Clinica Veterinaria|Av. Castros, 29|Santander, Cantabria (España)|639.031.231
3751|Juan Maestro Mallo|Pérez Galdós, 10|Val de San Vicente, Cantabria (España)|942.719.787
3752|Veterinarios Asociados S.c.|P.º la Ventilla, 11|Medio Cudeyo, Cantabria (España)|942.520.060
3753|Servicios Veterinarios Saron|B.º Rosales, 69|Santa María de Cayón, Cantabria (España)|942.563.434
3754|Laredo|Comandante Villar, 25|Laredo, Cantabria (España)|942.603.445
3755|Gonzalo Fernandez Garcia|Triana, 32|Campoo de Yuso, Cantabria (España)|942.778.437
3756|Tella|Urb. Mies del Calero, 1|Piélagos, Cantabria (España)|942.580.628
3757|Clinica Veterinaria Bezana|Respuela , 9 (Urb. Jardines Bezana)|Santa Cruz de Bezana, Cantabria (España)|942.581.300
3758|Servicios Veterinarios De Cantabria S.a.|Pedrosa, 16|Colindres, Cantabria (España)|942.650.307
3759|Cruz Azul|Av. Calvo Sotelo, 28|Medio Cudeyo, Cantabria (España)|942.522.641
3760|Centrovet S.c.|San Roque, 6 (Urb. Jardines Bezana)|Santa Cruz de Bezana, Cantabria (España)|942.580.207
3761|Ambrosio Cardeñoso Hontañon|Menéndez Pelayo, 2|Los Corrales de Buelna, Cantabria (España)|942.831.151
3762|Sersia Cantabria|Las Viñas, 1|Polanco, Cantabria (España)|942.824.122
3763|Uno Mas|Gral. Castañeda, 7|Torrelavega, Cantabria (España)|942.082.534
3764|Veterinarios Del Saja S.l.|Cigüenza S/N|Alfoz de Lloredo, Cantabria (España)|942.726.218
3765|Justo Moran Rodriguez|Simón Cabarga, 8 B|Santander, Cantabria (España)|942.273.718
3766|Veterinario La Cavada|Av. Alisas, 35|Riotuerto, Cantabria (España)|686.509.301
3767|Hospital Veterinario De Cantabris S.l.|B.º La Dehesa, 430|Miengo, Cantabria (España)|942.577.474
3768|Clinica Veterinaria Los Robles|B.º San Martín del Pino, 16|Santander, Cantabria (España)|942.341.420
3769|Animal Lago|Respuela, 4 C|Santa Cruz de Bezana, Cantabria (España)|942.581.384
3770|Clínica Veterinaria Mascotas|Avenida Hermanos Bou, 34 bajo|Castellón de la Plana, Castellón (España)|964.261.232
3771|Juan Tomas Fabregat Ferrer|Vallterra, 2|Benasal, Castellón (España)|964.444.033
3772|Guillermo Ordoñez Bernat|Mayor, 82-84|Castellón de la Plana, Castellón (España)|964.237.354
3773|David Ribes Gozalbo|Almazora, 24|Oropesa del Mar, Castellón (España)|964.313.397
3774|Sud - Oest Clinica Veterinaria|Av. Suroeste, 35|La Vall d'Uixó, Castellón (España)|964.667.598
3775|Clara Forcada Rodriguez|Pintor Bosch, 4|Villarreal, Castellón (España)|964.534.482
3776|Clinica Veterinaria Castalia|Rda. Magdalena, 100|Castellón de la Plana, Castellón (España)|964.211.828
3777|Clinica Veterinaria El Manescal S.l.|Dr. Fleming, 10 bajo|Onda, Castellón (España)|964.770.967
3778|Clinica Veterinaria Peñiscola|Centro Comercial Peñíscola Local 34|Peñíscola, Castellón (España)|964.480.509
3779|Hospital Veterinario San Francisco S.l.|Pla de Baix, 7|Sant mateu, Castellón (España)|964.416.473
3780|Papa Luna|Av. Papa Luna, 34|Benicarló, Castellón (España)|964.467.466
3781|Veterinario Consultorio Burrianense|Av. Jaime Chicharro, 152|Burriana, Castellón (España)|964.585.082
3782|Clinica Veterinaria Zoo|Salvador Guinot (Cardona Vives), 14|Castellón de la Plana, Castellón (España)|964.035.057
3783|Avelina Ribelles Villar|Mare de Déu de Loreto, 35|Atzeneta del Maestrat, Castellón (España)|964.370.534
3784|Clinica Veterinaria Albacor|L'Illustració, 2|Benicàssim, Castellón (España)|609.779.197
3785|Guardiola Borras, M.j.|Hospital, 4|Cinctorres, Castellón (España)|964.181.202
3786|Beltran Carbo, V.|Olivera, 5|Castellón de la Plana, Castellón (España)|964.235.636
3787|Jose Carlos Monfort Llorca|Av. Hermanos Bou, 38|Castellón de la Plana, Castellón (España)|964.236.495
3788|Unsain Salvador, A.|Cronista Revest, 24|Castellón de la Plana, Castellón (España)|964.239.758
3789|Perez Emo, R.|Pl. País Valencià, 24|Castellón de la Plana, Castellón (España)|964.241.109
3790|Gargallo Gargallo, L.m.|Estatut, 53|Benicàssim, Castellón (España)|964.305.564
3791|Joaquin Calaceit Vilagrasa|Juan XXIII, 8|Torreblanca, Castellón (España)|964.421.696
3792|Jose Vicente Fabregat Antoli|Av. Constitución, 61|Albocàsser, Castellón (España)|964.428.385
3793|Concepcion Moliner Barreda|Moncatil, 3|Benasal, Castellón (España)|964.444.061
3794|Juan Perez Ventura|Doria, 26|Burriana, Castellón (España)|964.585.761
3795|Botet Granado, M.|Pl. Centro, 2|La Vall d'Uixó, Castellón (España)|964.662.420
3796|Consuelo Pilar Romero Vicent|Sant Antoni, 6|La Vilavella, Castellón (España)|964.677.573
3797|Serveis Veterinaris Convet S.l.|Jaime Chicharro, 52|Alquerías del Niño Perdido, Castellón (España)|964.517.965
3798|L' Escorredor|Escorredor, 76|Burriana, Castellón (España)|964.518.043
3799|Europalomas C.b.|Moncofa, Polígono Industrial S/N|La Vilavella, Castellón (España)|964.677.608
3800|Consulta Veterinaria Fauna|Pol. Av. África S/N|Ceuta, Ceuta (España)|856.200.657
3801|Clínica Veterinaria Sanican|Cardenal Monescillo, 18|Ciudad Real, Ciudad Real (España)|926.223.931
3802|Clínica Veterinaria Animalia|Gran Capitán, 14|Puertollano, Ciudad Real (España)|629.274.415
